name,nickname
Krzysztof Jotko,Krzysztof
Joanna Jedrzejczyk,Joanna
Quinton Jackson,Rampage
Sam Alvey,Smile'N
Angela Hill,Overkill
Tim Sylvia,The Maine-iac
Jennifer Maia,Jennifer
Michael Johnson,The Menace_2_1.16
Kamaru Usman,The Nigerian Nightmare
Vladimir Matyushenko,The Janitor
Jamie Pickett,The Night Wolf
Sean Santella,Shorty Rock
Kristof Midoux,The Hurricane_5_0.60
John Gunther,The Machine_4_5.00
Anatoly Tokov,Anatoly
Tom Tuggle,The Law_1_0.00
Iony Razafiarison,Iony
Kiril Sidelnikov,Kiril
Michael Byrnes,Michael_2_1.67
Geraldo de Freitas,Spartan_1_2.00
Buck Meredith,Buck
Tony Bonello,The Gun_2_5.33
Adam Khaliev,Adam_2_6.00
Dakota Cochrane,Dakota
Donald Sanchez,Donald
Felipe dos Santos,Lipe Detona
Eric Schwartz,Eric_3_2.00
Matt Lee,Matt_6_1.40
Antwain Britt,The Juggernaut_2_1.83
Mike Minniger,Mike_17_0.00
Chris Barnett,Beastboy
Ray Seraille,Ray
Jason Sharp,Jason_2_1.00
Adam Yandiev,Boroda
JW Wright,JW
Andrew Valladerez,Andrew_1_0.71
Bahatebole Batebolati,Lion King
Andre Mussi,Andre_2_2.20
Helena Crevar,Helena
Al Matavao,Sweetness
Thomas Longacre,Thomas
Marcus Kowal,Marcus
Joey Gilbert,Joey
Lucrezia Ria,Lucrezia
Sean Bassett,Sean_4_0.00
Jonathan  Mix,Jonathan_1_1.75
Chad Laprise,The Disciple_2_3.25
Quillan Salkilld,Quillan
Reza Arianto,The Crazy Lion
Ryan Jimmo,The Big Deal
Jean Silva,Lord Assassin
Larry Cureton,Larry
Jansey Silva,Jones
Brad Tavares,Brad_1_2.22
Sumit Kumar,The Indian Kid
Yuhi Sano,Yuhi
Chris Brown,Chris_8_10.00
Nick Fiore,Nick_5_3.00
Andy Anderson,The Hammer_5_0.00
Fabiola Pidroni,The Queen
Satoshi Honma,Satoshi_1_0.67
Eduardo Garagorri,Eduardo
Bruno Oliveira,Bruno_1_4.00
Rolles Gracie,Rolles
Emily Fernandez,Emily
Lacey Schuckman,Lacey
Ottman Azaitar,Bulldozer
Mike Campbell,The Beast_3_3.25
Chad Corvin,The Brave Warrior
Ray Perales,Relentless_2_0.59
Anvar Boynazarov,The Uzbek
Anthony Morrison,Cheesesteak
David Douglas,Tarzan_1_1.29
Tyson Nam,Tyson_2_1.50
Peter Danesoe,The Asian Viking
Hamdy Abdelwahab,The Hammer_6_5.00
Nick Meregali,Nick_6_0.00
Juan Andres Luna,Juan
Leon Shahbazyan,Leon
Gokhan Saki,The Rebel
Justin Smitley,Justin_6_1.43
Steve Ramirez,Steve
Bill Cooper,Bill
Scott Graham,Scott_2_3.00
Enson Inoue,Yamato Damashii
Antonio McKee,Mandingo
Brandon Saling,White Steel
Bertrand Amoussou,Bertrand
Razak Al-Hassan,Razak
Julian Sanchez,Julian
Israel Albuquerque,Israel
Helio Dipp,Helio
Brad Katona,Superman_3_7.50
Santo Curatolo,Santo
Houston Dorr,Houston
Alan Omer,Alan
John Reedy,The Wild Child
Fernando Padilla,El Valiente
Brandon Jenkins,The Human Highlight Reel
Muin Gafurov,Tajik
Eric Martin,Eric_4_0.00
Dashawn Boatwright,"Buck, the 400-pound Silverback"
Shane Campbell,Shaolin_1_2.33
Justin Patterson,The Tactician
Roger Carroll,The Leprechaun
Todd Moore,Todd
Jeremy Larsen,Jeremy_2_1.60
Zach Zane,The Hurricane_6_1.43
Jared Chaffee,Jared_1_2.50
Takafumi Otsuka,Takafumi
Anthony Taylor,Pretty Boy_3_0.33
Adam Antolin,Captain Chaos
Todd Lally,Todd_1_2.00
James Wallace,Jesse
CM Punk,CM
Cleber Luciano,Cleber
Denis Tiuliulin,Denis_2_1.11
Daniel Marcos,Soncora
Austen Lane,Austen
Carli Judice,Crispy
Juan Mott,Juan_1_0.75
Kevin Aguilar,Angel of Death
Elise Reed,Elise
Rashad Evans,Suga
Lionel Lanham,Lionel
Mike de la Torre,El Cucuy_1_2.00
Alberto Uda,Alberto_1_6.00
Chase Gibson,El Guero
Jose Augusto,Gugu
Joao Elias,Alicate
Joe Giannetti,Joe_4_6.00
Marcos Bonilla,Murder Marx
Tedd Williams,Tedd
Arman Ashimov,Mustafa Ozturik
Daniel Allen,Daniel_8_5.00
Rana Rudra Pratap Singh,Ashwathama
Cindy Dandois,Battlecat
Errol Zimmerman,The Bonecrusher
Kyle Sturgeon,Kyle_4_0.00
Jorge Gonzalez,Street
Philipe Lins,Monstro_1_3.40
Yao Zhikui,The Conqueror
Andrei Kopylov,Andrei_1_0.55
Larissa Pacheco,Larissa
Chad Sutton,Chad
Anna Elmose,Panda
Merritt Warren,Merritt
Chris Yee,Chris_9_0.67
Johnny Bedford,Brutal
Josh Hendricks,Josh_7_1.73
Fabian Gonzalez,Fabian
Leonardo Silva de Oliveira,Cabecao
Garrett Armfield,Garrett
Joey Gomez,KO King
Takahiro Oba,Takahiro
Toby Misech,2 Quick
Manon Fiorot,The Beast_4_11.00
Tai Bowden,Tai
Zach Underwood,Zach_1_1.86
Josh Bumgarner,Josh_8_1.50
Jonathan Santa Maria,Jonathan_2_0.75
Kyle Levinton,Kyle_5_0.00
Falaniko Vitale,Niko
Tom Duquesnoy,Fire Kid
Jim Wallhead,Judo
Darryl Cobb,Darryl
Moise Rimbon,Swamp
Alfonso Alcarez,Alfonso
Ben Lagman,Bad News
John Renken,The Saint_2_0.64
Brandon Sene,Brandon
James Llontop,Goku_1_7.00
Scott Fiedler,Scott_3_0.00
Liliya Shakirova,Liliya
Kaue Fernandes,Kaue
Andre Walker,Andre_3_0.20
Leiticia Pestova,Leiticia
Kelly Velasco,Killer_2_2.00
Sheldon Westcott,Sheldon
Anthony Leone,Anthony_1_1.88
Darko Stosic,Darko
Melissa Martinez,Super Mely
Ben Jones,Blitzkrieg
Jason Medina,Jason_3_1.40
Nandor Guelmino,The Hun
Nick Gibbons,Nick_7_2.00
Andy Ogle,The Little Axe
Askar Askar,AK-47_1_11.00
Paul Redmond,Redser
Alex Torres,Rolo
Ednaldo Oliveira,Lula
Rudyard Moncayo,Rudyard
Desmond Torres,Desmond
Gerry Harris,Gerry
Ronal Siahaan,Naga Sakti
Masanori Tonooka,Masanori_1_0.50
Hidehiko Hasegawa,Hidehiko_1_0.95
Lodune Sincaid,Lodune
Sarah Kaufman,Sarah
Gideon Ray,Gideon
Gary Padilla,Gary
Kwan Ho Kwak,Kwan
Mark Robinson,White Rhino
David Blanco,David_3_2.00
Alessio Sakara,Legionarius
Jesse Finney,Jesse_1_5.00
Joe Vedepo,The Doctor
John Phillips,The Welsh Wrecking Machine
Neal Ewing,Neal
Remco Pardoel,Grizzly
Alexandre Ferreira,Cacareco
Vernon Ramos Ho,Vernon
Angelo Trevino,Baby Monsta
Ross Ebanez,The Boss_1_2.00
Stanislav Nedkov,Stucky
Mike Breeden,Money_1_1.83
Melsik Baghdasaryan,The Gun_3_4.00
Gabriel Miglioli,Biel
Wendell Oliveira Marques,The Machine_5_2.90
Artem Lobov,The Russian Hammer_1_0.87
Sai Wang,The Fire Kylin
Alen Amedovski,Alen
Koji Kitao,Koji
Dalcha Lungiambula,Champion
Irwin Rivera,The Beast_5_1.67
Adam Lynn,Adam_3_1.70
Chad Vance,Chad_1_1.40
Igor Zinoviev,Houdini
Sam Hughes,Sampage
Pawel Pawlak,Pawel_1_4.00
Ricky Johnson,Ricky_2_1.67
Oumar Sy,Oumar
Jong Wang Kim,Jong
Dan Charles,The Man
Mike Aina,Iron_1_2.33
Jeremiah Labiano,The Kid_2_2.20
Cyrillo Padilha,Cyrillo
Artur Oumakhanov,Artur
Darrel Gholar,Darrel
Dennis Reed,Dennis_1_0.73
Logan Nail,Logan_1_1.00
Armando Villarreal,La Lumbre
Joaquin Buckley,New Mansa
Robert Bryczek,Robert_1_3.40
Derek Anderson,Barbaric
Bethe Correia,Pitbull_4_1.83
Shannon Ross,The Turkish Delight
Orlando Wiet,The Gladiator_2_0.20
Adrian Yanez,Adrian
Brandon Cash,Money_2_2.50
Jamie Yager,The Chosyn 1
Ben Alloway,Blanco
Kurt Osiander,Kurt_1_4.00
Trevor Peek,Trevor_2_9.00
AJ Siscoe,Let's Go
Chris Drumm,Chris_10_0.00
Federico Lopez,Kiko_1_1.67
John Dowdy,John_6_0.00
Jared Hamman,The Messenger_1_2.33
Henry Martinez,Sicario
Jim Mullen,Jim
Cody Pfister,The Fist
Cale Yarbrough,Cale
Jeremy Umphries,Jeremy_3_2.50
Alex Hunter,Alex_3_2.00
Bryan Travers,Bryan
Todd Medina,El Tiburon
Jeremy Malaterre,Jeremy_4_2.00
Yan Pellerin,Wild Thing
Danny Martinez,The Gremlin_1_2.62
Jorge Patino,Macaco
Paul Herrera,The Bone Crusher
Hector Aldana,Hector_1_1.33
Keith Berry,Keith
Ryan Diaz,Ryan_5_0.93
Chad Robichaux,Robo
Shana Olsen,Rock Solid
Caolan Loughran,The Don
Harold Howard,Harold
Giacomo Lemos,Giacomo
Eduardo Dantas,Dudu
Marcin Prachnio,Marcin_1_2.29
Dino Pezao,Dino
Mairbek Taisumov,Beckan
Brandon Lowe,Brandon_1_2.00
Qiu Lun,Tibetan Knight
Mike Richman,The Marine
Chris Daukaus,Chris_11_1.71
Kris McCray,Savage_2_1.60
Brandon Michaels,Brandon_2_0.29
Bruno Lopes,Brunao_1_11.00
Stoney Hale,The Skuller
Yoel Romero,Soldier of God
Jesse Butler,Jesse_2_2.40
Louis Jauregui,Louis_1_2.00
Jerrel Venetiaan,Jerrel
Lv Zhenhong,Lv
Armen Petrosyan,Superman_4_4.50
Vinicius Magalhaes,Draculinho
Shang Zhifa,Northeast Flying Tiger
James Reese,JP
David Abbott,Tank_1_0.67
Steven Ciaccio,Stryker
Charlie Campbell,The Cannibal_1_4.00
Nazareno Malegarie,El Tigre
Christian Colombo,Christian_2_2.67
Mike Glenn,Mike_18_0.83
Craig Zellner,Big Z
Sergio Gomez,Sergio_1_3.33
Roshaun Jones,Roshaun
Joey Gomez,Joey_1_7.00
Brad Kohler,Brad_2_0.80
Rashad Coulter,Daywalker
Antonio Carvalho,Pato
Zubaira Tukhugov,Warrior
Manuel Torres,El Loco
Raphael Pessoa,Bebezao
Jason Novelli,Flipside
Magomed Gadzhiyasulov,Magomed_1_8.00
Lance Gibson,Fearless
TJ Cook,TJ_3_2.60
Chris Cope,C-Murder
Martin Svensson,Martin
Matt Helm,Matt_7_1.00
Hilarie Rose,Hilarie
Viacheslav Borshchev,Slava Claus
Tyra Parker,Tyra
Humberto DeLeon,Humberto_1_1.00
Katsuya Inoue,Katsuya
Robert Breslin,The Bullet
Takashi Sato,Ten_1_2.29
Jason Blackford,Jason_4_1.00
Roshan Mainam,The Indian Notorious
Daichi Abe,Daichi
Aaron Jeffery,Aaron_2_3.33
YeDam Seo,YeDam
Charlie Ontiveros,American Bad Boy
Rob Yundt,Monster_1_1.80
Salvador Becerra,Salvador
Lee Higgins,Lee
Andre Gusmao,Andre_4_2.00
Kazuhiro Hamanaka,Kazuhiro
Joshua Van,The Fearless
Edgar Cardenas,Kitty Katt
Soa Palelei,The Hulk
Krishaun Gilmore,Krishaun
John Lober,The Machine_6_0.56
Kyosuke Sasaki,Kyosuke
Li Jingliang,The Leech_1_2.38
Alptekin Ozkilic,The Turkish Delight_1_1.80
Jacqueline Cavalcanti,Jacqueline
Victor Rodriguez,Vicious
Brett Tillis,Brett
Orion Cosce,Galaxy
Josh Copeland,Cuddly Bear
Shannon Ritch,The Cannon_1_0.67
Katsuhiko Nagata,Katsuhiko
Saparbeg Safarov,Saparbeg
CJ Marsh,CJ_1_0.71
Eli Tamez,Tomahawk
George Allen,George_2_0.68
Gabriel Checco,Zangief
Wesley Little,Wesley
Chad Leonhardt,The Boss_2_2.25
Derek Campos,The Stallion
Jorge Oliveira,Jorge_1_1.67
Gigo Jara,The Little Animal
Aleksei Kunchenko,Aleksei
Kemran Lachinov,Kemran
Mabelly Lima,Mabelly
James Terry,Intensity
Dave Berry,Dave_1_0.00
Patricia Alujas,The Angel
Marcos Brigagao,Ironside
Tetsuya Seki,Tetsuya
Neil Wain,Old School
Micol Di Segni,Micol
Anistavio Medeiros,Gasparzinho
Josh LaBerge,Josh_9_1.83
Azamat Gashimov,Azamat
Mike van Arsdale,Mike_19_1.60
Teruto Ishihara,Yashabo
Joey Beltran,The Mexicutioner
Shane Carwin,The Engineer
TJ Laramie,TJ_4_2.40
John Richard,John_7_0.60
Lucas Stark,Lucas_1_0.20
Kazuki Tokudome,Kazuki_1_2.57
Alexander Trevino,Alexander
Justin Wren,The Viking_1_6.50
Frederick Brown,Frederick
Kyoji Horiguchi,Kyoji
Edson Gomez,Edson
Alexandre Franca Nogueira,Pequeno
Kim Couture,Sugar Free
Jason Fairn,Jason_5_0.80
Lukasz Les,Lukasz
Joe Ray,Joe_5_13.00
Jan Finney,Cuddles
Mason Jones,Dragon_2_5.50
Bojan Mihajlovic,Bojan
Codale Ford,Crunch Time
Christophe Leninger,Christophe
Cory Walmsley,Hardcore
Tyler Hill,Tyler_1_4.00
Jean Francois Lenogue,Jean
Brendan Seguin,Brendan
Felipe Bunes,Felipinho
Steve Steinbeiss,The Hooligan_1_2.25
James Bochnovic,James_3_2.67
Carlos Barreto,Carlos_1_1.56
Joe Veres,Joe_6_1.33
Paul Daley,Semtex
Curtis Blaydes,Razor_1_4.25
Terry Martin,Terry_1_2.09
Tyler Diamond,Tyler_2_9.00
Martin Sano,Spartan_2_1.33
Chris Birchler,The Big Buck
John Adajar,The Outlaw_2_3.00
Richard Odoms,The Black Eagle
Martin Bravo,El Toro_4_3.67
Jacobi Jones,Big Toe
Dominique Steele,Non-Stop Action-Packed
Jared Vanderaa,Jared_2_1.20
Herman Renting,Herman
Kazuyuki Miyata,Kazuyuki
Suman Mokhtarian,Suman
Yusuke Kawaguchi,Yusuke
Adin Duenas,Adin
Noe Hernandez,Noe
Mark Hall,Mark_4_0.83
KyeungPyo Kim,Redhorse
David Levicki,David_4_0.33
George Bush,George_3_2.50
Sean O'Haire,Sean_5_2.00
Tommy Hayden,Wild Card
Yusuke Imamura,Yusuke_1_0.33
Han Ten Yun,Han
Chad W. Saunders,Chad_2_3.50
Tom Egan,Tom_4_1.40
Curtis Millender,Curtious
Jose Perez,Jose_2_1.00
Ramazan Kuramagomedov,Ramazan
Zak Bucia,Zak_1_2.12
Gil Castillo,Gil
Kenneth Alexander,The Machine_7_1.17
Josefine Knutsson,Thunder_1_7.00
Marcelo Aguiar,Marcelo_1_0.67
Angga,The Hitman_4_4.33
Matt Horning,Horndog
Justin Lawrence,The American Kidd
Takashi Sugiura,Takashi
Scott Bills,Scott_4_0.78
Michiyoshi Ohara,Michiyoshi
Yan Qihui,Queen Kong
Ryan Hayes,Ryan_6_1.17
Bubba Jenkins,The Highlight Kid
Taiei Kin,Taiei
Martin Buschkamp,Martin_1_9.00
Egan Inoue,Egan
Bobby Flynn,Bobby_3_1.50
Chuck Grigsby,The Reverend
Jon Olav Einemo,The Viking_2_2.00
Brian Johnston,Brian_2_1.00
Albert Tumenov,Einstein
Dennis Olson,Dennis_2_1.27
Dave Strasser,Dave_2_3.12
Rocky Lee,Rocky_2_1.50
Rama Supandhi,Hellboy_2_2.00
Jonathan Meunier,District
Bassil Hafez,The Habibi
Sokun Koh,Sokun
Nora Cornolle,Nora
Piera Rodriguez,La Fiera
Danny Abbadi,The Assassin_2_0.67
Leo Sylvest,Lethal_1_0.62
Scott Carson,Scott_5_2.00
Fedor Nikolov,Fedor
Serhiy Sidey,Serhiy
James Giboo,James_4_2.60
Eric Smith,Eric_5_1.00
Muhammad Naimov,Hillman
Fares Ziam,Smile Killer
Len Bentley,Len
James Gabert,James_5_1.50
Jeremie Holloway,Hit Em
Brandon Hester,The Beast_6_3.00
SangWon Kim,No Problem
Kyle Bochniak,Killer B_1_1.60
Danny Silva,El Puma
AJ Cunningham,The Savage_3_3.33
Gan McGee,The Giant_1_2.60
Roy Boughton,Black Dynamite_1_1.75
Tommy Petersen,Tommy
Eduardo Neves,Bebezao_1_3.50
Pat Curran,Paddy Mike
Braxton Smith,The Beautiful Monster
Kevin Gray,Pocket Herc
Gustavo Gabriel,Gustavo_1_13.00
Craig Jones,Craig
Brian Sleeman,Brian_3_1.00
Isaac Dulgarian,The Midwest Choppa
Ralph Dillon,Rage
Jorge Lopez,Jorge_2_2.20
Cal Worsham,Cal
Nikolas Motta,Iron_2_2.60
Windri Patilima,Windri
Mike Rodriguez,Slo Mike
Canaan Kawaihae,Canaan
Troy Mandaloniz,Rude Boy
Ian Murphy,Ian
Corey Hill,Corey
Robert Whittaker,The Reaper_1_3.57
Achilles Estremadura,Achilles
Rolando Bedoya,The Machine_8_4.67
Chase Sherman,The Vanilla Gorilla_1_1.33
Bryan Pardoe,Pain Inducer
Guy Mezger,Guy
Leonardo Damiani,Puppy
Alejandro Flores,El Gallito
Sherron Leggett,Rob Roy
Josh Epps,Josh_10_0.86
Gian Villante,Gian
Nobuhiko Takada,Nobuhiko
Jadson Costa,Jadson
Chris Dempsey,Chris_12_2.20
Kultar Gill,Black Mamba
Justin DeMoney,Justin_7_2.14
Justin Sumter,Justin_8_2.33
Bob Gilstrap,Bob
Taylor Moore,Taylor
Ion Cutelaba,The Hulk_1_1.89
Gerric Hayes,Gerric
Houston Alexander,The Assassin_3_1.13
Ibo Aslan,The Last Ottoman
Sam Liera,Sam_4_1.20
Andre Santos,Chatuba
Jean Matsumoto,Jean_1_14.00
Jong Won Kim,Jong_1_0.00
Joe Lowry,Joe_7_4.50
Mikey Gonzalez,Rolls
Brian Houston,B-Hue
Tomomi Iwama,Tomomi
Paul Georgieff,Paul_3_3.00
Mark Schultz,Mark_5_1.00
Gasan Umalatov,Cobra
Nate Moore,Nate_2_2.00
Albert Cheng,Albert_1_1.75
Marc Diakiese,Bonecrusher
Khalid Murtazaliev,Khalid
Philip Preece,Philip_2_0.71
Ron Stallings,The Choir Boy
Jai Herbert,Black Country Banger
Balajin,The Snow Leopard_1_5.75
Miguel Linares,Miguel_1_0.50
Jonatas Novaes,Jonatas
Lucas Lopes,Lucas_2_1.53
Trey Houston,Trey
Sanford Alton Meeks,Sanford
Darrius Flowers,Beast Mode
John Dixson,Big John
Shaun Etchell,The Buzzsaw
JunYoung Hong,Drunken Red
Sultan Aliev,Sultan
Damonte Robinson,Damonte
Harry Moskowitz,Dirty
Jorgen Kruth,The Last Viking
Moti Horenstein,Moti
Sarah D'alelio,The Monster_4_1.57
Ashiek Ajim,Peak Physique
Ludovit Klein,Mr. Highlight_1_5.00
Jose Barreto,Jose_3_0.00
Vinicius Cenci,Chambinho
Richie Santiago,The Milford Mauler
Scott Morris,Scott_6_2.00
Maiju Kujala,Maiju
Antony Rea,Wild Thing_1_2.20
Chris Wright,Chris_13_1.60
Nick Penner,The Quiet Assassin
Christian Aguilera,The Beast_7_1.75
Mario Soto,Dr. Mario
Gerald Harris,Gerald
Rubin Williams,Mr. Hollywood
Steve Mann,Steve_1_2.40
Alessandro Costa,Nono
Michael Bravo,Michael_3_1.75
Alexander Morgan,The Chess Master
Abdul-Kareem Al-Selwady,Pride of Palestine
Chris Amarante,Chris_14_2.00
Marc Stevens,Marc
Danny Navarro,Danny_1_2.43
David Dodd,David_5_0.57
Elves Brener,Elves
Ivan Valenzuela,Bam Bam_2_4.00
Chelsea Hackett,Hammer
CJ Keith,CJ_2_2.00
Bryanna Fissori,Bryanna
Jeff Molina,El Jefe
Dean Barry,The Sniper_2_2.00
Norifumi Yamamoto,Kid
Bryan Humes,Bryan_1_3.00
Crezio de Souza,Crezio
Wuziazibieke Jiahefu,Prairie Kitty
Rulon Gardner,Rulon
Cortez Coleman,Hollywood_3_1.62
Aalon Cruz,Aalon
Paul Capaldo,Paul_4_6.00
Chris Condo,Chris_15_0.00
Yoji Anjo,Mr. 200%
Ricky Legere Jr.,IE Bad Boy
Luciano Pereira,El Torito
Aaron Brink,Aaron_3_1.00
Diego Henrique da Silva,Gaucho
OJ Dominguez,OJ
Jesse Jones,Jesse_3_2.00
Trent Jenkins,Trent
Timo Feucht,Timo
Garrett Mueller,Garrett_1_1.00
Ryan Tobar,Ryan_7_1.00
Koji Oishi,Koji_1_2.50
Rob Sinclair,Rob_1_2.60
Scott Ferrozzo,The Pitbull_1_2.00
Caio Bittencourt,Leao
Muslim Salikhov,King of Kung Fu
Yosuke Nishijima,Yosuke
Michael McDonald,The Black Sniper
Rafael Carino,Rafael_2_2.00
Jeremy Kennedy,JBC
Luis Ramos,Beicao
Eric Steenberg,Eric_6_5.00
Hugo Duarte,Hugo
Andre Fialho,Andre_5_2.00
Igor Da Silva,Igor_2_8.00
Andre Amado,Dida
Sam Oropeza,Sam_5_4.33
Frank Lester,Frank_3_1.83
Steven Nguyen,The Ninja
Maiara Amanajas dos Santos,Maiara
Wagner Campos,Galeto
He-Man Gipson,He-Man_1_0.50
Koichiro Matsumoto,Koichiro
Dan Severn,The Beast_8_5.32
Josh Clopton,The Gentleman
Damion Douglas,Damion
Eduardo Torres Caut,Cyborg_2_8.00
Omar Morales,Venezuelan Fighter
Brandon Foxworth,Brandon_3_4.50
Cortavious Romious,Are You Not Entertained?
Joe Warren,Joe_8_2.50
George Hardwick,King_3_6.00
Dante Rivera,Dante
Bill Duvall,Bill_1_0.50
Henry Miller,Sentoryu
Ben Earwood,Ben_1_4.00
Andy Murad,The Tooth Fairy
Sovannahry Em,The Sweet Savage
Nad Narimani,Smiler
Craig Oxley,Craig_1_0.00
Jeremy Kimball,Jeremy_5_1.88
Josh Stuart,Josh_11_0.25
John Elam,John_8_2.00
Javi Alanis,Javi
Iliarde Santos,Iliarde
Bogdan Guskov,Czarevitch
Yoshinori Horie,Yoshinori
Karl Williams,Karl
Colley  Bradford,Colley
Zane Frazier,Nasty
Lucas Almeida,Lucas_3_7.00
Joe Martin,Joe_9_0.75
Zachary Micklewright,Zachary
Romie Aram,Romie
Junior Tafa,The Juggernaut_3_5.00
Askar Mozharov,Askar
Milco Voorn,Milco
Jakob Lovstad,The Striking Viking
Brendson Ribeiro,The Gorilla
James Wade,James_6_0.36
Shayilan Nuerdanbieke,Wolverine_2_3.55
Victor Altamirano,El Magnifico
Ricky Camp,2 Slick
Kyle Watson,Kyle_6_1.62
Justin Governale,The Therapist
Sam Adkins,The Experience
Chris Jones,Lionheart_1_2.00
Mike Bencic,Batman_2_0.50
Marcelo Rojo,Pitbull_5_1.60
Sergey Morozov,Sergey
Leah Letson,Nidas
Talita Alencar,Problem Child
Salim Touahri,Grizzly_1_2.50
Dmitrii Smoliakov,The Lifeguard
Jamal Pogues,Jamal
Pete Rogers Jr.,The Heat_3_0.50
Aaron Lanfranco,Aaron_4_5.00
Malik Lewis,Hard Knock
Chris Duncan,The Problem
Song Kenan,The Assassin_4_2.86
Janay Harding,Hollowpoint
Casey Ryan,Casey_1_2.33
Josh Ferguson,Taz
Andy Ologun,Andy
Ron van Clief,The Black Dragon
Callan Potter,The Rockstar_1_2.00
John Yoo,John_9_0.00
Rich Attonito,The Raging Bull
Herschel Walker,Herschel
Anthony Macias,Mad Dog_1_1.44
Angelo Antonio,Angelo
Lazar Stojadinovic,The Bronx Bomber
MinWoo Kim,Korean MOAI
Kevin Rosier,Kevin
Scott Harper,Scott_7_1.71
Patrick Kaase,Kamikaze_1_0.50
Matt Hamill,The Hammer_7_1.50
Adam Steele,Adam_4_0.00
Maimaitituoheti Keremuaili,Kyrgyz Mountain Eagle
Andrew Martinez,Mickey D
Tsuyoshi Kurihara,Tsuyoshi
Masio Fullen,Lobo
Chandler Cole,The Hammer_8_2.50
Michael Mangan,Michael_4_0.00
Cameron Else,Camchida
Matt Ramirez,The Machine_9_0.67
Ian Rammel,Ian_1_0.88
Alexander Soldatkin,Alexander_1_3.50
Charles Radtke,Chuck Buffalo
Amador Ramirez,Amador
Artenus Young,Artenus
Clifford Starks,Clifford
Anthony Ivy,Aquaman
Chris Culley,Chris_16_1.33
Diana Belbita,The Warrior Princess_1_1.88
Ben Holscher,The Teacher
Flavio Luiz Moura,Flavio
Rainy Martinez,Rainy
Ricky Steele,The Karate Kid
Gabriel Carrasco,Gabriel_1_7.00
Robbie Lawler,Ruthless
Jeff Hughes,Lights Out_1_2.50
Anthony Hamilton,Freight Train
Jay Perrin,The Joker_3_1.43
Mateus Mendonca,Bocao
Maia Stevenson,Maia
Valeri Ignatov,Valeri
Lucas Rocha,Fenomeno_1_17.00
Robert Whiteford,The Hammer_9_3.50
Stefan Klever,Stefan_1_6.00
Jamey-Lyn Horth,Jamey-Lyn
Renee Forte,Renee
Rami Hamed,Rami
Max Mustaki,Max
Uros Medic,The Doctor_1_4.50
Marko Damiani,Marko
Bazigit Atajev,Volk
Tom Blackledge,Tom_5_1.43
Nate Mohr,Nate_3_1.29
Shunichi Shimizu,Shunichi
Emrah Sonmez,Anatolian Wolf
Luke Hartwig,Luke_4_0.00
Antonio Mendes,Samurai
David Gardner,David_6_0.86
Kamal Shalorus,Prince of Persia
Don'Tale Mayes,Lord Kong
Danilo Suzart,Danilo_1_4.50
Brandon Girtz,Cold Roll
Shawn Teed,Shawn
Jenna Castillo,Jenna
Rolando Dy,Dy Incredible
Hugo Sandoval,Hugo_1_0.67
Ihor Potieria,Duelist
Travis Johnson,Travis
Rickson Gracie,Rickson
Rich Bouphanouvong,Rich
Josh Quinlan,Bushido
Kris Moutinho,Kris
Roman Salazar,El Gallito_1_1.67
Jong Man Kim,Special Force
Walter Smith-Cotito,Walter
Chris Gruetzemacher,Gritz
Justin Eilers,The Hammer_10_2.71
Bruno Silva,Blindado
Royston Wee,Royston
Rizvan Kuniev,Rizvan
Tobias Harila,Bad Intention
Gregory Bouchelaghem,Gregory
Rory Markham,Rory
Gary Tapusoa,Gary_1_2.67
Istela Nunes,Istela
Hayder Hassan,Hulk
Lewis Gonzalez,Lethal_2_3.67
Rafael Freitas,Capoeira_1_0.50
Ryan McGivern,Ryan_8_1.86
Taylor Roberts,Taylor_1_0.25
Will Chope,The Kill
Jae Hyun Park,The First Prospect
Slim Trabelsi,Slim
Ryo Kawamura,Ryo
Landon Quinones,The Lone Wolf_1_3.50
Goldman Butler,Goldman
Brian Gassaway,Brian_4_1.45
Edivan Santos,Pe De Sapo
Derrick Lewis,The Black Beast
Onassis Parungao,Onassis
Nate James,Nate_4_1.75
Demetrius Gioulacos,Demetrius
Yibugele,Eagle
Lorenzo Hood,Dream Killer
Kazunari Murakami,Kazunari
Yoislandy Izquierdo,Cuba
Anthony Do,Anthony_2_2.00
Jeremy Wallace,Jeremy_6_0.67
Shingo Kohara,Shingo
Brad Royster,Brad_3_0.50
Crafton Wallace,Blaze
Janaina Silva,Jana-Iron-Hand
Christopher Lopez,Christopher
Vernon White,Tiger_2_0.79
Joe Jordan,Joe_10_3.50
Rick Roufus,Rick
Eric Magana,Eric_7_1.00
Jesse Fujarczyk,The Ronin_1_1.00
Gilbert Rael,Gilbert_1_0.33
Carl Deaton,The Anishinaabe Kid
Joe Hurley,Joe_11_2.40
Mostapha Al-Turk,Mostapha
Jordan Williams,Bomaye
Nick Rossborough,Leatherface
Kevin Jackson,Kevin_1_2.00
Jose Henrique,Canela
Ho Taek Oh,Spider
Yokthai Sithoar,Yokthai
Abram Torres,Abram
Scott McDonald,Scott_8_1.00
Edimilson Souza,Kevin_2_3.00
Hans Stringer,Hans
Cory Devela,The One_2_2.29
Pawan Maan,Pawan
TJ O'Brien,The Spider_1_2.50
Kenneth Bergh,Kenneth_1_8.00
Michael Morales,Michael_5_16.00
Rilley Dutro,Rilley
Joseph Sandoval,Joseph_2_1.00
