name,nickname
Steve Berger,The Red Nosed Pitbull
David Zawada,Sagat
Kin Moy,Kong
Erisson Ferreira,Gato
Billy Giovanella,Wolverine
Charlene Gellner,Princess
Stefan Struve,Skyscraper
Donny Walker,Eagle Eye
Jason Knight,The Kid
Cole Smith,The Cole Train
Misha Cirkunov,Misha
Ralek Gracie,Ralek
Kazushi Sakuraba,The Gracie Hunter
Dustin Neace,The Beast
Claude Patrick,The Prince
Simeon Thoresen,The Grin
Cody Donovan,Donnybrook
Carlo Prater,Neo_1_1.72
Damon Jackson,The Leech
Gina Carano,Conviction
Bobby Nash,Bobby_1_2.00
Paulo Filho,Paulo
Roland Delorme,Roland
Myktybek Orolbai,Myktybek
Daniel Barez,Daniel_3_2.67
Mateusz Rebecki,Mateusz
Miguel Torres,Miguel
George Sotiropoulos,George
Deiveson Figueiredo,Deus da Guerra
Dan Bobish,Dan_2_1.89
Chris Wilson,The Professor
Jess Liaudin,The Joker
Kestutis Smirnovas,Kestutis
Marcio Cruz,Pe de Pano
Paul Craig,Bearjew
Neil Seery,2Tap
Ryuta Sakurai,Ryuta
Shane Nelson,Sugar
Steven Siler,Super
Bryce Mitchell,Thug Nasty
Marcus McGhee,The Maniac
Eiji Mitsuoka,Eiji
Jamie Colleen,Jamie
Mayra Bueno Silva,Sheetara
Rafaello Oliveira,Tractor
Caio Magalhaes,Hellboy_1_3.33
Satoshi Ishii,Satoshi
Justin James,Justin_2_1.86
Jerrod Sanders,J-Reazie
Saimon Oliveira,Saimon
Fabricio Camoes,Morango
Pawel Nastula,Pawel
Shavkat Rakhmonov,Nomad
Dileno Lopes,Dileno
Mike Pyle,Quicksand
Thomas Denny,The Wildman
Matt Veach,Matt_1_3.40
Bu-Kyung Jung,Bu-Kyung
Ryan Spann,Superman_1_2.33
Godofredo Pepey,Godofredo
Gerald Meerschaert,GM3
Max Rohskopf,Rated R
Joe Solecki,Joe_2_3.25
Javier Vazquez,Showtime
Chris Indich,Chris_2_1.50
Gavin Tucker,Guv'nor
Mike Malott,Proper
Oskar Piechota,Imadlo
Jason Von Flue,Live Wire
Tony DeSouza,Tony
Ilia Topuria,El Matador
Ryuki Ueyama,Ryuki
Charles Byrd,Kid Dynamite
Teemu Packalen,Pacu
Rafael Alves,The Turn
Thiago Tavares,Thiago
Andre Muniz,Sergipano
Matt Wiman,Matt_2_1.60
Patrick Walsh,The Beast of the East
Michihiro Omigawa,Michihiro
Paul Kelly,Paul_2_2.80
Grant Dawson,KGD
Gadzhimurad Antigulov,Gadzhimurad
Said Nurmagomedov,Said
Brian Bowles,Brian
Dokonjonosuke Mishima,Dokonjonosuke
Luke Cummo,Luke_1_1.00
Joe Taimanglo,The Juggernaut
Terry Etim,Terry
Bobby Moffett,The Wolfman
Josh Barnett,The Warmaster
Mackenzie Dern,Mackenzie
Chel Erwin-Davis,The First Sun
Colton Smith,Colton
Tony Kelley,Primetime
Darrell Montague,Mongoose
Rodolfo Vieira,Rodolfo_1_4.50
Carlos Eduardo Rocha,Ta Danado
Tom Lawlor,Filthy
Michael McDonald,Mayday
Walel Watson,The Gazelle
Mike Massenzio,The Master of Disaster
Roan Carneiro,Jucao
Hector Sandoval,Kid Alex
Mario Sperry,Zen Machine
Livinha Souza,The Brazilian Gangsta
Nikita Krylov,The Miner
Robert McDaniel,Bubba
Jason Dent,Dynamite
Fernando Gonzalez,The Menifee Maniac
Yaotzin Meza,Yaotzin
Kengo Ura,Uraken
Jimy Hettes,The Kid_1_3.67
Erick Silva,Erick_1_2.11
Claudio Puelles,Prince of Peru
Benoit Saint Denis,God of War
Roger Zapata,Viva
Elias Garcia,Elias
Julija Stoliarenko,Julija
Christian Rodriguez,Christian_1_10.00
Josh Fremd,Josh_3_2.20
Marcus Davis,The Irish Hand Grenade
Chris Fishgold,Chris_3_4.50
Mario Bautista,Mario
Travis Galbraith,The Gladiator
Kenny Florian,KenFlo
Muhammad Mokaev,The Punisher_2_11.00
Hunter Azure,Hunter
Papy Abedi,Makambo
Rodrigo de Lima,Monstro
Daniel Lacerda,Miojo
TJ Brown,Downtown
Nate Diaz,Nate_1_1.69
James Thompson,The Colossus
Mark Bocek,Mark_2_2.40
Liana Jojua,She Wolf
Ben Saunders,Killa B
Matthew Lopez,Matthew
Josh Thomson,The Punk
Pablo Garza,The Scarecrow
Alex Perez,Alex_2_3.43
Richard Crunkilton,Cleat
Evan Tanner,Evan
Jacare Souza,Jacare
Matt Brown,The Immortal
Barb Honchak,Little Warrior
Joel Alvarez,El Fenomeno
Jason Brilz,Hitman
Noah Thomas,Noah
Eduarda Moura,Ronda
Josh Neer,The Dentist
Matt Lindland,The Law
Ryan Couture,Ryan_2_2.20
Bobby Southworth,Bobby_2_1.67
Nissen Osterneck,Nissen
Paddy Holohan,The Hooligan
Zelg Galesic,Benkei
Vinicius Moreira,Mamute
Marcus Aurelio,Maximus_1_2.20
Clay Harvison,Bushwacker
Marcin Held,Marcin
Edgar Chairez,Puro Chicali
Adam Cella,El Naturel
Shayna Baszler,The Queen of Spades
Miesha Tate,Cupcake
Thiago Moises,Thiago_1_2.43
